".rownames","Mean","SD","Naive.SE","Time.series.SE","tree","varnames","prior","model"
"Lh",-63.058535095313,1.78256293349727,0.0012604623381677,0.00126046327148847,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"alpha1",0.3730054355245,0.496087748749223,0.000350787011204144,0.000351125116888664,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"beta1",1.1848563629775,0.455560745091774,0.00032213009209679,0.000322130275676293,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"alpha2",0.4040825388765,0.757170736622567,0.00053540056238183,0.000538921419091801,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"beta2",1.5333768546175,0.63669079076602,0.000450208375669678,0.000453220343458432,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.0.0.",0.167232792438,0.124586624454883,0.0000880960469971897,0.0000881048416617587,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.0.1.",0.2690785662625,0.160930073923952,0.000113794746568479,0.000113794799577113,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.1.0.",0.2160542724345,0.142870180755133,0.000101024473641303,0.000101024546422495,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.1.1.",0.347634369351,0.175468329707924,0.00012407484581995,0.000124074924982715,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"Lh",-42.1231478147545,2.04375986788376,0.00144515646169753,0.00144567122261995,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q12",0.8567579016995,1.28473465283413,0.00090844458504436,0.000909456302162791,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q13",1.944131072745,3.42954617409741,0.00242505535609666,0.00242173272047765,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q21",54.3332827300355,26.6454126428443,0.0188411519672689,0.0188534641347674,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q24",46.0604108406005,28.4518466922659,0.0201184937333813,0.0201253032652231,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q31",36.882417736353,25.7531069818669,0.0182101965835007,0.0181907940611254,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q34",34.9773322698005,29.2012154624701,0.0206483774724021,0.0206797066589043,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q42",0.9480374960585,0.960269443840609,0.000679013035505929,0.000679721361328722,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q43",2.7884665021735,2.39797156281724,0.00169562195316058,0.00169708873633741,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"Root...P.0.0.",0.182503203332,0.0768291850081459,0.0000543264377122958,0.000054368908901506,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"Root...P.0.1.",0.352537553047,0.0872934270215416,0.0000617257741999451,0.0000617585581011821,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"Root...P.1.0.",0.3027091014005,0.0858898046394725,0.0000607332632953588,0.0000607742175316191,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"Root...P.1.1.",0.1622501431055,0.0650244121562428,0.0000459792027783482,0.0000459262261245818,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"Lh",-62.941698642074,1.69004607383795,0.00119504303932852,0.00119504255754469,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"alpha1",0.3573134973475,0.332418533075443,0.000235055398929731,0.000234928891520861,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"beta1",1.1648523945815,0.40839418578182,0.000288778298163484,0.000288572674781405,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"alpha2",0.378624951468,0.367970414605653,0.000260194375443683,0.000260337225853554,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"beta2",1.50110011856,0.47716689864349,0.000337407949788566,0.000336948362697846,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"Root...P.0.0.",0.1646167287355,0.123998363910903,0.0000876800839774371,0.0000877991080876901,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"Root...P.0.1.",0.2687833763785,0.161609236583068,0.000114274987090269,0.00011427492082519,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"Root...P.1.0.",0.2152524234075,0.143204951445606,0.000101261192266679,0.000101380858061727,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"Root...P.1.1.",0.3513474710025,0.176670329469364,0.000124924788002249,0.000125039095697988,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"Lh",-41.5779995768165,1.85982847834428,0.0013150973288811,0.00131611773527898,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"q12",0.5783147561315,0.766147098367278,0.000541747808641899,0.000541148311154785,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"q13",0.834039546842,1.13109769476882,0.000799806850155505,0.000800456050790089,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"q21",18.895037213661,13.9742373040574,0.00988127795960898,0.00988128069307525,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"q24",13.1110508408475,11.832516515972,0.0083668526669456,0.00836332574637587,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"q31",17.554445992251,10.3708498869784,0.00733329828175018,0.00733718315328786,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"q34",10.296708744317,9.51074069189585,0.0067251092373464,0.00672172308063783,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"q42",0.567420359115,0.588681279920013,0.000416260524989017,0.00041602875061419,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"q43",1.706669456872,0.980741893091899,0.000693489243199014,0.000694054351608214,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"Root...P.0.0.",0.1405062761435,0.0747759479735675,0.0000528745798817621,0.0000529157126388508,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"Root...P.0.1.",0.341126198931,0.108982274031468,0.0000770621049967819,0.0000769797278090192,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"Root...P.1.0.",0.348911001339,0.112133648228841,0.0000792904630618003,0.0000792700025755156,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"Root...P.1.1.",0.1694565228705,0.0870142277981316,0.0000615283505357698,0.0000615282767655784,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"Lh",-64.374792316108,2.49006204437307,0.00176073975715143,0.00176633485505125,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
"No.Off.Parmeters",1.384618,0.489353771631069,0.000346025370319542,0.000348087671016669,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
"No.Off.Zero",0.088665,0.284259666813249,0.000201001938021477,0.000205256064610611,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
"alpha1",0.492479492177,0.38562501379341,0.000272678062248476,0.000273956691000741,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
"beta1",0.9112061511275,0.275256125882819,0.000194635473174879,0.000194821785306529,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
"alpha2",0.528567904015,0.384160132523161,0.00027164223476865,0.000273165876292873,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
"beta2",0.9152586238345,0.275818873078387,0.000195033395532959,0.000195260882538808,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
"Root...P.0.0.",0.347887485607,0.264886102124545,0.000187302759054338,0.000187196764457419,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
"Root...P.0.1.",0.1725731344755,0.116630441430374,0.0000824701760281981,0.0000841484385150676,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
"Root...P.1.0.",0.20062623694,0.156905368691109,0.000110948850206059,0.000113341343379168,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
"Root...P.1.1.",0.2789131439815,0.304750320898848,0.000215491018476352,0.000216035457079892,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
"RJRates...Shape",0.663766571121,0.226322594446837,0.000160034241269092,0.000160034350377947,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
"RJRates...Scale",0.668005895059,0.208489485766313,0.000147424329191456,0.000147544695954086,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
"Lh",-45.5092648499545,3.38078536229985,0.00239057625541844,0.00241649609832268,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"No.Off.Parmeters",1.431587,0.504701682970143,0.000356877982504451,0.000378939457764261,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"No.Off.Zero",3.246697,0.616764769089797,0.00043611855062035,0.000508518662707946,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"q12",0.0080715553995,0.0817228595240547,0.0000577867881474147,0.0000611732443339635,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"q13",0.0143012715905,0.114988118279695,0.0000813088781914534,0.0000872339392277713,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"q21",2.3927370048025,2.22562902505459,0.0015737573760217,0.00162239209637035,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"q24",3.4073075315875,1.86486143329787,0.00131865616545819,0.00134541204457801,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"q31",3.750142745512,1.83294669552381,0.00129608903795836,0.00131503179176666,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"q34",3.5316986852015,1.85545528534386,0.00131200501445506,0.00132322993083083,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"q42",0.030491660929,0.153184558039154,0.00010831783976255,0.000120298568417651,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"q43",2.0812412774545,0.866448434369381,0.000612671563491057,0.000627917615485006,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"Root...P.0.0.",0.0050924249655,0.0326577471432161,0.0000230925144632437,0.0000256177803430512,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"Root...P.0.1.",0.29897909133,0.209355726762654,0.000148036854074111,0.000151089314780296,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"Root...P.1.0.",0.5620566680725,0.18874126291903,0.000133460226899759,0.000137071135344134,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"Root...P.1.1.",0.133871815546,0.0630953973099088,0.000044615183299496,0.0000450019926987078,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"RJRates...Shape",0.748531429409,0.200438153981355,0.000141731177888729,0.000142033124981608,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"RJRates...Scale",0.8320799654645,0.138771299422939,0.0000981261268560289,0.0000982981281851305,"iqtree","Rec_binary_v_bristle_binary","rjhp","dependent"
"Lh",-62.659546044243,1.7720722821272,0.00125304432744486,0.00125417692717362,"exabayes","Rec_binary_v_bristle_binary","uniform","independent"
"alpha1",0.3658645150955,0.482189981961334,0.000340959806065078,0.000343153197300216,"exabayes","Rec_binary_v_bristle_binary","uniform","independent"
"beta1",1.17791642405,0.4535805927312,0.000320729912934845,0.000321452139008103,"exabayes","Rec_binary_v_bristle_binary","uniform","independent"
"alpha2",0.392910251716,0.687570525408074,0.000486185781060046,0.000489950819288492,"exabayes","Rec_binary_v_bristle_binary","uniform","independent"
"beta2",1.5230199343875,0.604979169886081,0.000427784873503056,0.000428010395783054,"exabayes","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.0.0.",0.1672015084405,0.124760798320989,0.0000882192065190182,0.0000881519107367283,"exabayes","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.0.1.",0.269473849611,0.161242417094445,0.000114015606542392,0.000114015610205074,"exabayes","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.1.0.",0.2156155165625,0.142806982876637,0.000100979785992861,0.000101051246859886,"exabayes","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.1.1.",0.347709125096,0.175775960370501,0.000124292373547559,0.000124497763803382,"exabayes","Rec_binary_v_bristle_binary","uniform","independent"
"Lh",-41.906828868303,2.03839645714827,0.00144136395759617,0.00143937321611892,"exabayes","Rec_binary_v_bristle_binary","uniform","dependent"
"q12",0.847311479886,1.27904880334633,0.000904424082314727,0.000904423728506538,"exabayes","Rec_binary_v_bristle_binary","uniform","dependent"
"q13",1.947771306159,3.4441891465094,0.00243540950118591,0.0024421732964435,"exabayes","Rec_binary_v_bristle_binary","uniform","dependent"
"q21",54.3239412815975,26.6267471246261,0.0188279534527625,0.0188098538919614,"exabayes","Rec_binary_v_bristle_binary","uniform","dependent"
"q24",45.9048330652095,28.465692525373,0.0201282842158625,0.0201414761966497,"exabayes","Rec_binary_v_bristle_binary","uniform","dependent"
"q31",36.8225407919855,25.7570793465505,0.0182130054695058,0.0182208976367753,"exabayes","Rec_binary_v_bristle_binary","uniform","dependent"
"q34",34.5885456007625,29.2067169173658,0.0206522675884652,0.0206483973983519,"exabayes","Rec_binary_v_bristle_binary","uniform","dependent"
"q42",0.942862820975,0.958975307005231,0.00067809794257385,0.000677562225378499,"exabayes","Rec_binary_v_bristle_binary","uniform","dependent"
"q43",2.758382682335,2.38203933247528,0.00168435616504635,0.00168435624149624,"exabayes","Rec_binary_v_bristle_binary","uniform","dependent"
"Root...P.0.0.",0.1822640282385,0.0768133254142746,0.0000543152232859226,0.0000542859533128731,"exabayes","Rec_binary_v_bristle_binary","uniform","dependent"
"Root...P.0.1.",0.3531870660635,0.0876395728924635,0.0000619705362925537,0.000061893943435695,"exabayes","Rec_binary_v_bristle_binary","uniform","dependent"
"Root...P.1.0.",0.3023698242985,0.0862443169293985,0.0000609839413395794,0.000060983981355059,"exabayes","Rec_binary_v_bristle_binary","uniform","dependent"
"Root...P.1.1.",0.162179081321,0.0655243792615396,0.0000463327329088739,0.0000463672451704207,"exabayes","Rec_binary_v_bristle_binary","uniform","dependent"
"Lh",-62.54834718132,1.68561123315275,0.00119190713340653,0.0011921681981436,"exabayes","Rec_binary_v_bristle_binary","exp","independent"
"alpha1",0.351610476397,0.32733127856278,0.000231458166766204,0.00023155536411251,"exabayes","Rec_binary_v_bristle_binary","exp","independent"
"beta1",1.1586700514325,0.406128871037951,0.000287176478746572,0.0002871762688564,"exabayes","Rec_binary_v_bristle_binary","exp","independent"
"alpha2",0.370278452117,0.359013248922997,0.000253860702849265,0.000253860668095048,"exabayes","Rec_binary_v_bristle_binary","exp","independent"
"beta2",1.493465201626,0.472964092535957,0.000334436117089917,0.000333851824997579,"exabayes","Rec_binary_v_bristle_binary","exp","independent"
"Root...P.0.0.",0.164911201268,0.124108527873632,0.0000877579816625247,0.0000876452621269526,"exabayes","Rec_binary_v_bristle_binary","exp","independent"
"Root...P.0.1.",0.2694123934125,0.161694493647507,0.000114335272938677,0.000114475957286188,"exabayes","Rec_binary_v_bristle_binary","exp","independent"
"Root...P.1.0.",0.214695037637,0.14285621989418,0.000101014601821851,0.000101014621479673,"exabayes","Rec_binary_v_bristle_binary","exp","independent"
"Root...P.1.1.",0.350981367746,0.176716134597095,0.00012495717711868,0.000124957236759905,"exabayes","Rec_binary_v_bristle_binary","exp","independent"
"Lh",-41.3393125172205,1.85742710305498,0.00131339930012986,0.00131295287683568,"exabayes","Rec_binary_v_bristle_binary","exp","dependent"
"q12",0.573157980278,0.761471442647572,0.000538441620776001,0.000538441918502581,"exabayes","Rec_binary_v_bristle_binary","exp","dependent"
"q13",0.8303387226555,1.12301450122096,0.00079409116918417,0.000794091220272857,"exabayes","Rec_binary_v_bristle_binary","exp","dependent"
"q21",18.881793393715,13.9575586632473,0.00986948437959121,0.00986947978606466,"exabayes","Rec_binary_v_bristle_binary","exp","dependent"
"q24",13.0373348651695,11.7922619175598,0.00833838836743441,0.00833383415622573,"exabayes","Rec_binary_v_bristle_binary","exp","dependent"
"q31",17.4719679666565,10.3171962342519,0.0072953594200718,0.00727629105996148,"exabayes","Rec_binary_v_bristle_binary","exp","dependent"
"q34",10.110188263276,9.42011472819228,0.00666102700386003,0.00663466394586255,"exabayes","Rec_binary_v_bristle_binary","exp","dependent"
"q42",0.5645851612105,0.583877864950278,0.000412863997691065,0.000412863973296571,"exabayes","Rec_binary_v_bristle_binary","exp","dependent"
"q43",1.689505280977,0.969812627044858,0.000685761085063759,0.000685761563239701,"exabayes","Rec_binary_v_bristle_binary","exp","dependent"
"Root...P.0.0.",0.1413481950835,0.0747726402298536,0.0000528722409537515,0.0000529008050579154,"exabayes","Rec_binary_v_bristle_binary","exp","dependent"
"Root...P.0.1.",0.3413571134055,0.10881748676392,0.0000769455828024452,0.0000768765032311731,"exabayes","Rec_binary_v_bristle_binary","exp","dependent"
"Root...P.1.0.",0.347851607097,0.112021536664797,0.0000792111882146156,0.0000793546604659823,"exabayes","Rec_binary_v_bristle_binary","exp","dependent"
"Root...P.1.1.",0.169443084192,0.0872774433618958,0.0000617144720458214,0.0000617300092369136,"exabayes","Rec_binary_v_bristle_binary","exp","dependent"
"Lh",-63.9655842008545,2.52325124927547,0.00178420806900012,0.00178722220251445,"exabayes","Rec_binary_v_bristle_binary","rjhp","independent"
"No.Off.Parmeters",1.395585,0.491897986128034,0.000347824401643139,0.000350497986234914,"exabayes","Rec_binary_v_bristle_binary","rjhp","independent"
"No.Off.Zero",0.0888465,0.284522125526591,0.000201187524357463,0.000205879675496579,"exabayes","Rec_binary_v_bristle_binary","rjhp","independent"
"alpha1",0.4805259197365,0.382445528835923,0.000270429826874356,0.000270987524583346,"exabayes","Rec_binary_v_bristle_binary","rjhp","independent"
"beta1",0.9090548673575,0.275333868302543,0.000194690445367052,0.000194631556500085,"exabayes","Rec_binary_v_bristle_binary","rjhp","independent"
"alpha2",0.517073012872,0.381877902566491,0.000270028454490062,0.000271698948471594,"exabayes","Rec_binary_v_bristle_binary","rjhp","independent"
"beta2",0.913030338255,0.275880447960608,0.000195076935549728,0.000195076938578322,"exabayes","Rec_binary_v_bristle_binary","rjhp","independent"
"Root...P.0.0.",0.3447570832755,0.266990692821398,0.000188790929407705,0.000189167192014637,"exabayes","Rec_binary_v_bristle_binary","rjhp","independent"
"Root...P.0.1.",0.1715604255465,0.11684871520223,0.0000826245188924323,0.0000843856954468367,"exabayes","Rec_binary_v_bristle_binary","rjhp","independent"
"Root...P.1.0.",0.200213737502,0.158098397671048,0.000111792449087925,0.000114305842456768,"exabayes","Rec_binary_v_bristle_binary","rjhp","independent"
"Root...P.1.1.",0.283468753416,0.306794674346809,0.000216936594662547,0.000216876961284606,"exabayes","Rec_binary_v_bristle_binary","rjhp","independent"
"RJRates...Shape",0.6632122095605,0.226306187335279,0.000160022639689249,0.000160124836971393,"exabayes","Rec_binary_v_bristle_binary","rjhp","independent"
"RJRates...Scale",0.6675245070845,0.2085830527246,0.000147490491022156,0.000147623076196643,"exabayes","Rec_binary_v_bristle_binary","rjhp","independent"
"Lh",-45.2453029065235,3.34842222131123,0.00236769205896489,0.00239749554696568,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"No.Off.Parmeters",1.427809,0.504193997013842,0.000356518994322037,0.000380957887395876,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"No.Off.Zero",3.2482325,0.616156892169849,0.000435688716728129,0.000505805265004013,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"q12",0.0079559734875,0.0804960872934723,0.0000569193291841985,0.0000603325413635665,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"q13",0.0142823569345,0.114351454762646,0.0000808586891012134,0.0000868670319529396,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"q21",2.365673201967,2.20076750926811,0.00155617762961851,0.00160117998096635,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"q24",3.3671703721355,1.84494803373856,0.00130457526559332,0.00133291395038513,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"q31",3.704371168788,1.81503576068351,0.00128342409447539,0.00130432785701076,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"q34",3.477873823498,1.83421650576012,0.00129698692938727,0.00131025491030589,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"q42",0.030300339727,0.152594189823541,0.000107900386393893,0.00012046690252745,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"q43",2.067522624737,0.855847412766028,0.000605175509227821,0.000621545993467412,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"Root...P.0.0.",0.0052914551665,0.0338741167975619,0.0000239526176942612,0.0000266169403939098,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"Root...P.0.1.",0.2995311459835,0.210426289339181,0.000148793856131657,0.000151180550025243,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"Root...P.1.0.",0.562551241128,0.190258276890488,0.000134532917766132,0.000137697682904544,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"Root...P.1.1.",0.1326261578345,0.0631525400508825,0.0000446555893191341,0.0000451270108688503,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"RJRates...Shape",0.748137322745,0.200525243235571,0.000141792759290954,0.000141946748132606,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"RJRates...Scale",0.8306916434975,0.139646256290428,0.0000987448147902762,0.0000990033543092505,"exabayes","Rec_binary_v_bristle_binary","rjhp","dependent"
"Lh",-76.6876859963625,1.68666331830761,0.00119265106995391,0.00119494581494234,"hybrid28S","Rec_binary_v_bristle_binary","uniform","independent"
"alpha1",0.336550003047,0.31891896350893,0.000225509761746149,0.000225509688233697,"hybrid28S","Rec_binary_v_bristle_binary","uniform","independent"
"beta1",0.838524780302,0.281321474946273,0.000198924322627911,0.000198753686857746,"hybrid28S","Rec_binary_v_bristle_binary","uniform","independent"
"alpha2",0.374795965485,0.34595931962745,0.000244630180923254,0.000244630302988019,"hybrid28S","Rec_binary_v_bristle_binary","uniform","independent"
"beta2",1.152810334427,0.339519803884508,0.000240076755673862,0.00024007657345112,"hybrid28S","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.0.0.",0.2210597891585,0.148734235455036,0.000105170986484852,0.000105145015418911,"hybrid28S","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.0.1.",0.278397753632,0.166196790556141,0.000117518877613688,0.000117518842711607,"hybrid28S","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.1.0.",0.2215118840785,0.148810673103239,0.000105225036064235,0.000105225028957635,"hybrid28S","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.1.1.",0.279030573357,0.166349556448715,0.000117626899412261,0.000117785488029089,"hybrid28S","Rec_binary_v_bristle_binary","uniform","independent"
"Lh",-53.6772150658285,2.25846710820675,0.00159697740729976,0.00159657557761952,"hybrid28S","Rec_binary_v_bristle_binary","uniform","dependent"
"q12",0.786745591888,1.19569445564868,0.000845483657816337,0.00084504542938135,"hybrid28S","Rec_binary_v_bristle_binary","uniform","dependent"
"q13",3.9357866445555,6.27929240253211,0.00444013023888362,0.00444346602485383,"hybrid28S","Rec_binary_v_bristle_binary","uniform","dependent"
"q21",54.1559122724065,26.5543795882077,0.0187767818770233,0.0188265530935246,"hybrid28S","Rec_binary_v_bristle_binary","uniform","dependent"
"q24",46.285669805343,28.2365886510626,0.0199662833127415,0.019972733084688,"hybrid28S","Rec_binary_v_bristle_binary","uniform","dependent"
"q31",34.014539314322,26.0419466145729,0.0184144370464626,0.0184137541031848,"hybrid28S","Rec_binary_v_bristle_binary","uniform","dependent"
"q34",18.460924510483,22.5528197041506,0.0159472517476825,0.0159580521088232,"hybrid28S","Rec_binary_v_bristle_binary","uniform","dependent"
